V,t
0.0,0.0
0.04,0.01
0.0796,0.02
0.118804,0.03
0.15761596,0.04
0.1960398004,0.05
0.234079402396,0.06
0.271738608372,0.07
0.309021222288,0.08
0.345931010065,0.09
0.382471699965,0.1
0.418646982965,0.11
0.454460513135,0.12
0.489915908004,0.13
0.525016748924,0.14
0.559766581435,0.15
0.59416891562,0.16
0.628227226464,0.17
0.6619449542,0.18
0.695325504658,0.19
0.728372249611,0.2
0.761088527115,0.21
0.793477641844,0.22
0.825542865425,0.23
0.857287436771,0.24
0.888714562403,0.25
0.919827416779,0.26
0.950629142612,0.27
0.981122851185,0.28
1.01131162267,0.29
1.04119850645,0.3
1.07078652138,0.31
1.10007865617,0.32
1.12907786961,0.33
1.15778709091,0.34
1.18620922,0.35
1.2143471278,0.36
1.24220365652,0.37
1.26978161996,0.38
1.29708380376,0.39
1.32411296572,0.4
1.35087183606,0.41
1.3773631177,0.42
1.40358948653,0.43
1.42955359166,0.44
1.45525805574,0.45
1.48070547519,0.46
1.50589842044,0.47
1.53083943623,0.48
1.55553104187,0.49
1.57997573145,0.5
1.60417597414,0.51
1.62813421439,0.52
1.65185287225,0.53
1.67533434353,0.54
1.69858100009,0.55
1.72159519009,0.56
1.74437923819,0.57
1.76693544581,0.58
1.78926609135,0.59
1.81137343044,0.6
1.83325969613,0.61
1.85492709917,0.62
1.87637782818,0.63
1.8976140499,0.64
1.9186379094,0.65
1.9394515303,0.66
1.960057015,0.67
1.98045644485,0.68
2.0006518804,0.69
2.0206453616,0.7
2.04043890798,0.71
2.0600345189,0.72
2.07943417371,0.73
2.09863983198,0.74
2.11765343366,0.75
2.13647689932,0.76
2.15511213033,0.77
2.17356100902,0.78
2.19182539893,0.79
2.20990714494,0.8
2.2278080735,0.81
2.24552999276,0.82
2.26307469283,0.83
2.2804439459,0.84
2.29763950645,0.85
2.31466311138,0.86
2.33151648027,0.87
2.34820131546,0.88
2.36471930231,0.89
2.38107210929,0.9
2.39726138819,0.91
2.41328877431,0.92
2.42915588657,0.93
2.4448643277,0.94
2.46041568443,0.95
2.47581152758,0.96
2.49105341231,0.97
2.50614287818,0.98
2.5210814494,0.99
2.53587063491,1.0
2.55051192856,1.01
2.56500680927,1.02
2.57935674118,1.03
2.59356317377,1.04
2.60762754203,1.05
2.62155126661,1.06
2.63533575394,1.07
2.6489823964,1.08
2.66249257244,1.09
2.67586764672,1.1
2.68910897025,1.11
2.70221788055,1.12
2.71519570174,1.13
2.72804374472,1.14
2.74076330728,1.15
2.7533556742,1.16
2.76582211746,1.17
2.77816389629,1.18
2.79038225732,1.19
2.80247843475,1.2
2.8144536504,1.21
2.8263091139,1.22
2.83804602276,1.23
2.84966556253,1.24
2.86116890691,1.25
2.87255721784,1.26
2.88383164566,1.27
2.8949933292,1.28
2.90604339591,1.29
2.91698296195,1.3
2.92781313233,1.31
2.93853500101,1.32
2.949149651,1.33
2.95965815449,1.34
2.97006157294,1.35
2.98036095721,1.36
2.99055734764,1.37
0.0,1.38
0.04,1.39
0.0796,1.4
0.118804,1.41
0.15761596,1.42
0.1960398004,1.43
0.234079402396,1.44
0.271738608372,1.45
0.309021222288,1.46
0.345931010065,1.47
0.382471699965,1.48
0.418646982965,1.49
0.454460513135,1.5
0.489915908004,1.51
0.525016748924,1.52
0.559766581435,1.53
0.59416891562,1.54
0.628227226464,1.55
0.6619449542,1.56
0.695325504658,1.57
0.728372249611,1.58
0.761088527115,1.59
0.793477641844,1.6
0.825542865425,1.61
0.857287436771,1.62
0.888714562403,1.63
0.919827416779,1.64
0.950629142612,1.65
0.981122851185,1.66
1.01131162267,1.67
1.04119850645,1.68
1.07078652138,1.69
1.10007865617,1.7
1.12907786961,1.71
1.15778709091,1.72
1.18620922,1.73
1.2143471278,1.74
1.24220365652,1.75
1.26978161996,1.76
1.29708380376,1.77
1.32411296572,1.78
1.35087183606,1.79
1.3773631177,1.8
1.40358948653,1.81
1.42955359166,1.82
1.45525805574,1.83
1.48070547519,1.84
1.50589842044,1.85
1.53083943623,1.86
1.55553104187,1.87
1.57997573145,1.88
1.60417597414,1.89
1.62813421439,1.9
1.65185287225,1.91
1.67533434353,1.92
1.69858100009,1.93
1.72159519009,1.94
1.74437923819,1.95
1.76693544581,1.96
1.78926609135,1.97
1.81137343044,1.98
1.83325969613,1.99
1.85492709917,2.0
1.87637782818,2.01
1.8976140499,2.02
1.9186379094,2.03
1.9394515303,2.04
1.960057015,2.05
1.98045644485,2.06
2.0006518804,2.07
2.0206453616,2.08
2.04043890798,2.09
2.0600345189,2.1
2.07943417371,2.11
2.09863983198,2.12
2.11765343366,2.13
2.13647689932,2.14
2.15511213033,2.15
2.17356100902,2.16
2.19182539893,2.17
2.20990714494,2.18
2.2278080735,2.19
2.24552999276,2.2
2.26307469283,2.21
2.2804439459,2.22
2.29763950645,2.23
2.31466311138,2.24
2.33151648027,2.25
2.34820131546,2.26
2.36471930231,2.27
2.38107210929,2.28
2.39726138819,2.29
2.41328877431,2.3
2.42915588657,2.31
2.4448643277,2.32
2.46041568443,2.33
2.47581152758,2.34
2.49105341231,2.35
2.50614287818,2.36
2.5210814494,2.37
2.53587063491,2.38
2.55051192856,2.39
2.56500680927,2.4
2.57935674118,2.41
2.59356317377,2.42
2.60762754203,2.43
2.62155126661,2.44
2.63533575394,2.45
2.6489823964,2.46
2.66249257244,2.47
2.67586764672,2.48
2.68910897025,2.49
2.70221788055,2.5
2.71519570174,2.51
2.72804374472,2.52
2.74076330728,2.53
2.7533556742,2.54
2.76582211746,2.55
2.77816389629,2.56
2.79038225732,2.57
2.80247843475,2.58
2.8144536504,2.59
2.8263091139,2.6
2.83804602276,2.61
2.84966556253,2.62
2.86116890691,2.63
2.87255721784,2.64
2.88383164566,2.65
2.8949933292,2.66
2.90604339591,2.67
2.91698296195,2.68
2.92781313233,2.69
2.93853500101,2.7
2.949149651,2.71
2.95965815449,2.72
2.97006157294,2.73
2.98036095721,2.74
2.99055734764,2.75
0.0,2.76
0.04,2.77
0.0796,2.78
0.118804,2.79
0.15761596,2.8
0.1960398004,2.81
0.234079402396,2.82
0.271738608372,2.83
0.309021222288,2.84
0.345931010065,2.85
0.382471699965,2.86
0.418646982965,2.87
0.454460513135,2.88
0.489915908004,2.89
0.525016748924,2.9
0.559766581435,2.91
0.59416891562,2.92
0.628227226464,2.93
0.6619449542,2.94
0.695325504658,2.95
0.728372249611,2.96
0.761088527115,2.97
0.793477641844,2.98
0.825542865425,2.99
0.857287436771,3.0
0.888714562403,3.01
0.919827416779,3.02
0.950629142612,3.03
0.981122851185,3.04
1.01131162267,3.05
1.04119850645,3.06
1.07078652138,3.07
1.10007865617,3.08
1.12907786961,3.09
1.15778709091,3.1
1.18620922,3.11
1.2143471278,3.12
1.24220365652,3.13
1.26978161996,3.14
1.29708380376,3.15
1.32411296572,3.16
1.35087183606,3.17
1.3773631177,3.18
1.40358948653,3.19
1.42955359166,3.2
1.45525805574,3.21
1.48070547519,3.22
1.50589842044,3.23
1.53083943623,3.24
1.55553104187,3.25
1.57997573145,3.26
1.60417597414,3.27
1.62813421439,3.28
1.65185287225,3.29
1.67533434353,3.3
1.69858100009,3.31
1.72159519009,3.32
1.74437923819,3.33
1.76693544581,3.34
1.78926609135,3.35
1.81137343044,3.36
1.83325969613,3.37
1.85492709917,3.38
1.87637782818,3.39
1.8976140499,3.4
1.9186379094,3.41
1.9394515303,3.42
1.960057015,3.43
1.98045644485,3.44
2.0006518804,3.45
2.0206453616,3.46
2.04043890798,3.47
2.0600345189,3.48
2.07943417371,3.49
2.09863983198,3.5
2.11765343366,3.51
2.13647689932,3.52
2.15511213033,3.53
2.17356100902,3.54
2.19182539893,3.55
2.20990714494,3.56
2.2278080735,3.57
2.24552999276,3.58
2.26307469283,3.59
2.2804439459,3.6
2.29763950645,3.61
2.31466311138,3.62
2.33151648027,3.63
2.34820131546,3.64
2.36471930231,3.65
2.38107210929,3.66
2.39726138819,3.67
2.41328877431,3.68
2.42915588657,3.69
2.4448643277,3.7
2.46041568443,3.71
2.47581152758,3.72
2.49105341231,3.73
2.50614287818,3.74
2.5210814494,3.75
2.53587063491,3.76
2.55051192856,3.77
2.56500680927,3.78
2.57935674118,3.79
2.59356317377,3.8
2.60762754203,3.81
2.62155126661,3.82
2.63533575394,3.83
2.6489823964,3.84
